Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2021-05-21,3.49,3.61,2952.8,2934.98,2932.58
2021-07-13,3.78,3.9,2958.8,2941.47,2940.5
2021-12-06,4.89,5.01,3003.78,2986.08,2986.08
2021-10-05,4.66,4.78,2943.13,2925.09,2925.09
2021-11-29,5.16,5.28,2957.43,2939.94,2939.94
2022-01-26,5.25,5.37,3009.93,2993.35,2993.35
2022-01-05,5.19,5.31,2994.77,2977.91,2977.91
2021-12-30,5.03,5.15,3012.25,2992.85,2992.85
2022-01-17,5.35,5.47,2988.75,2972.19,2972.19
2022-04-13,5.39,5.51,3114.82,3097.25,3097.25
2022-03-09,5.63,5.75,3013.12,2996.34,2996.34
2022-03-25,5.04,5.16,3115.56,3096.6,3096.6
2022-04-04,5.01,5.13,3137.79,3120.31,3120.31
2021-03-24,3.53,3.65,2897.01,2878.99,2877.77
2021-07-15,3.74,3.86,2966.73,2949.38,2948.19
2021-05-14,3.48,3.6,2947.65,2929.78,2927.75
2021-08-20,4.71,4.83,2873.96,2857.64,2855.59
2021-12-01,4.97,5.09,2985.99,2968.36,2968.36
2021-08-12,4.29,4.41,2923.1,2906.35,2904.96
2021-12-07,4.93,5.05,3000.07,2982.4,2982.4
2021-12-08,4.92,5.04,3003.05,2985.38,2985.38
2021-12-14,4.84,4.96,3018.65,3001.07,3001.07
2022-01-24,5.23,5.35,3010.44,2993.82,2993.82
2021-12-22,4.98,5.1,3008.74,2991.58,2991.58
2022-04-28,5.4,5.52,3134.67,3117.76,3117.76
2022-05-10,5.48,5.6,3141.51,3124.67,3124.67
2022-05-04,5.49,5.61,3131.71,3114.87,3114.87
2022-05-11,5.6,5.72,3131.32,3114.43,3114.43
2021-05-19,3.59,3.71,2934.47,2916.75,2915.67
2021-03-19,3.26,3.38,2934.42,2916.09,2913.23
2021-04-07,3.71,3.83,2888.71,2870.89,2869.51
2021-03-29,3.59,3.71,2895.5,2877.55,2876.17
2021-08-18,4.53,4.65,2895.59,2879.09,2878.06
2021-09-17,4.51,4.63,2937.07,2917.22,2917.22
2021-12-02,5.13,5.25,2966.35,2948.85,2948.85
2021-11-22,5.17,5.29,2945.05,2927.66,2927.66
2021-12-20,5.13,5.25,2986.36,2969.31,2969.31
2021-12-27,4.99,5.11,3011.61,2994.55,2994.55
2022-02-01,5.25,5.37,3016.74,3000.07,3000.07
2022-01-11,5.38,5.5,2978.99,2962.17,2962.17
2022-04-22,5.38,5.5,3128.85,3110.53,3110.53
2022-04-05,5.02,5.14,3138.38,3120.92,3120.92
2022-04-12,5.31,5.43,3122.82,3105.19,3105.19
2021-11-01,5.43,5.55,2877.61,2859.51,2859.51
2021-08-03,4.15,4.27,2930.76,2913.85,2912.5
2021-10-25,5.14,5.26,2901.77,2884.7,2884.7
2021-09-20,4.59,4.71,2927.57,2909.7,2909.7
2021-07-30,3.94,4.06,2957.95,2940.83,2937.73
2021-09-24,4.63,4.75,2929.96,2910.23,2910.23
2021-10-19,4.97,5.09,2918.19,2900.97,2900.97
2021-10-08,4.64,4.76,2951.7,2931.45,2931.45
2022-01-03,5.01,5.13,3016.08,2999.06,2999.06
2021-12-28,4.95,5.07,3018.11,3001.01,3001.01
2022-03-21,5.57,5.69,3039.49,3022.77,3022.77
2022-03-08,5.71,5.83,3001.36,2984.64,2984.64
2022-02-17,5.25,5.37,3033.64,3016.63,3016.63
2022-03-31,5.12,5.24,3117.15,3099.76,3099.76
2021-10-26,5.42,5.54,2866.23,2849.39,2849.39
