Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2018-05-22,5.51,5.63,1241.2,1217.55,1217.14
2018-03-13,5.07,5.19,1314.17,1288.75,1288.34
2018-11-08,5.23,5.35,1365.17,1339.81,1339.34
2018-11-23,5.03,5.15,1412.29,1386.06,1385.86
2018-11-29,5.17,5.29,1382.55,1356.94,1356.7
2018-12-03,5.06,5.18,1406.88,1380.8,1380.56
2018-10-15,5.42,5.54,1315.97,1291.47,1290.99
2017-11-07,5.34,5.46,1219.08,1195.1,1194.66
2018-01-26,4.95,5.07,1326.82,1300.95,1300.21
2017-12-21,5.45,5.57,1209.61,1186.01,1185.65
2018-01-11,5.36,5.48,1235.09,1211.04,1210.61
2017-09-26,5.07,5.19,1261.66,1236.63,1236.34
2017-10-13,5.09,5.21,1262.17,1237.2,1236.64
2018-01-08,5.35,5.47,1234.04,1209.99,1209.63
2018-02-28,5.08,5.2,1307.83,1282.49,1282.08
2017-09-21,5.03,5.15,1269.64,1244.42,1244.07
2018-06-15,5.96,6.08,1164.03,1142.03,1140.77
2018-07-31,5.75,5.87,1228.39,1205.31,1204.92
2018-07-19,5.85,5.97,1205.68,1183.01,1182.59
2018-08-02,5.77,5.89,1225.29,1202.29,1201.9
2018-09-05,5.87,5.99,1214.43,1191.78,1191.5
2018-10-23,5.23,5.35,1359.14,1333.82,1333.34
2018-09-19,5.92,6.04,1206.97,1184.51,1184.11
2018-12-24,5.03,5.15,1415.86,1389.7,1389.33
2018-01-12,5.27,5.39,1254.25,1229.81,1229.03
2017-10-24,5.07,5.19,1269.91,1244.81,1244.37
2018-01-29,5.02,5.14,1312.08,1286.53,1286.11
2018-01-16,5.27,5.39,1255.04,1230.6,1230.2
2017-09-27,5.07,5.19,1261.95,1236.91,1236.63
2018-01-02,5.44,5.56,1214.32,1190.66,1190.3
2017-09-20,5.05,5.17,1265.05,1239.92,1239.57
2018-01-30,5.02,5.14,1312.51,1286.94,1286.53
2018-07-23,5.74,5.86,1227.75,1204.65,1204.26
2018-04-10,5.31,5.43,1269.93,1245.53,1245.23
2018-04-12,5.26,5.38,1280.84,1256.23,1255.93
2018-06-19,5.96,6.08,1165.24,1143.24,1142.63
2018-08-03,5.69,5.81,1241.53,1218.2,1217.57
2018-08-06,5.64,5.76,1251.78,1228.25,1227.86
2018-08-20,5.62,5.74,1259.9,1236.27,1235.99
2018-12-18,5.03,5.15,1414.44,1388.28,1387.96
2018-08-31,5.8,5.92,1227.03,1204.11,1203.84
2019-01-07,4.85,4.97,1458.88,1431.93,1431.61
2018-01-17,5.19,5.31,1272.02,1247.23,1246.84
2018-02-15,5.16,5.28,1286.62,1261.66,1261.22
2017-09-19,5.04,5.16,1266.82,1241.65,1241.3
2018-01-31,5.04,5.16,1308.63,1283.15,1282.74
2018-02-08,5.15,5.27,1287.05,1262.06,1261.68
2017-10-25,5.14,5.26,1255.65,1230.86,1230.42
2017-09-22,5.03,5.15,1269.56,1244.34,1243.98
