Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2022-08-03,12.9,13.02,460.84,457.5,457.5
2022-09-23,11.61,11.73,503.77,500.18,500.18
2022-09-21,11.75,11.87,499.4,495.84,495.84
2022-10-17,11.78,11.9,502.32,498.78,498.78
2022-10-19,11.76,11.88,503.32,499.78,499.78
2022-07-22,13.48,13.6,444.22,440.99,440.99
2022-08-25,12.02,12.14,487.95,484.44,484.44
2022-09-26,11.9,12.02,495.89,492.37,492.37
2022-09-27,11.67,11.79,502.52,498.95,498.95
2022-09-02,11.86,11.98,493.7,490.15,490.15
2022-07-12,13.31,13.43,446.74,443.48,443.48
2022-07-15,13.17,13.29,450.98,447.69,447.69
2022-09-08,11.7,11.82,498.82,495.25,495.25
2022-09-15,11.96,12.08,492.69,489.17,489.17
2022-08-17,11.93,12.05,489.12,485.59,485.59
2022-06-27,12.68,12.8,460.68,457.29,457.29
2022-11-24,13.58,13.7,461.1,457.92,457.92
2022-10-06,11.61,11.73,505.75,502.16,502.16
