Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2019-02-08,8.77,8.89,610.14,606.2,606.0
2019-02-01,8.63,8.75,613.77,609.79,609.59
2019-09-27,6.68,6.8,712.5,708.31,708.13
2019-09-20,6.8,6.92,707.39,703.22,703.03
2019-07-05,7.0,7.12,690.19,685.96,685.78
2019-09-30,6.68,6.8,712.68,708.5,708.31
2019-08-29,7.26,7.38,688.5,684.41,684.22
2019-08-30,7.16,7.28,692.12,688.01,687.82
2019-09-11,6.99,7.11,699.49,695.35,695.16
2019-10-01,6.72,6.84,711.47,707.29,707.11
2019-07-31,6.83,6.95,699.52,695.29,695.1
2019-04-29,8.74,8.86,622.0,618.12,617.92
2019-02-14,8.67,8.79,614.26,610.3,610.1
2019-02-15,8.59,8.71,617.12,613.14,612.94
2019-04-08,8.7,8.82,620.42,616.51,616.3
2019-01-25,8.85,8.97,605.47,601.54,601.33
2019-02-04,8.59,8.71,615.31,611.32,611.11
2019-03-08,8.83,8.95,611.86,607.96,607.75
2019-03-13,8.55,8.67,621.68,617.72,617.51
2019-04-03,8.62,8.74,622.42,618.49,618.29
2019-10-03,6.65,6.77,714.28,710.09,709.91
2019-10-04,6.58,6.7,716.92,712.72,712.53
2019-07-09,6.94,7.06,692.68,688.45,688.26
2019-07-10,6.88,7.0,695.0,690.75,690.56
2019-08-20,6.93,7.05,698.59,694.41,694.22
2019-09-09,6.96,7.08,700.15,696.01,695.82
2019-10-30,6.09,6.21,737.49,733.2,733.03
2019-03-26,8.71,8.83,618.24,614.33,614.12
2019-05-02,8.77,8.89,621.44,617.58,617.37
2019-01-21,8.97,9.09,600.72,596.81,596.6
2019-04-15,8.81,8.93,617.87,614.0,613.79
2019-02-06,8.69,8.81,612.38,608.42,608.22
2019-03-25,8.96,9.08,609.91,606.06,605.85
2019-02-18,8.57,8.69,617.99,614.01,613.8
2019-10-02,6.67,6.79,713.4,709.21,709.03
2019-08-26,6.95,7.07,698.63,694.47,694.28
2019-10-11,6.38,6.5,724.87,720.63,720.45
2019-10-14,6.26,6.38,729.32,725.05,724.87
2019-10-31,6.02,6.14,740.17,735.87,735.7
2019-10-15,6.24,6.36,730.21,725.94,725.76
2019-08-07,6.9,7.02,697.97,693.77,693.58
2019-06-28,7.2,7.32,682.22,678.04,677.85
2019-10-21,6.14,6.26,734.48,730.2,730.02
2019-05-03,8.72,8.84,623.27,619.39,619.18
2019-06-11,7.71,7.83,662.3,658.22,658.02
2019-05-09,8.6,8.72,627.99,624.1,623.89
2019-04-26,8.79,8.91,620.17,616.31,616.1
2019-03-14,8.55,8.67,621.89,617.92,617.72
2019-04-22,8.73,8.85,621.29,617.41,617.2
2019-08-09,6.85,6.97,700.1,695.89,695.7
2019-10-09,6.55,6.67,718.51,714.31,714.13
2019-09-06,6.99,7.11,698.93,694.78,694.6
2019-10-17,6.22,6.34,731.27,727.0,726.82
2019-07-19,6.96,7.08,693.46,689.24,689.05
2019-09-18,6.8,6.92,707.02,702.85,702.66
2019-09-19,6.71,6.83,710.35,706.16,705.97
2019-08-01,6.82,6.94,700.06,695.83,695.64
2019-01-14,8.96,9.08,600.02,596.11,595.9
2019-04-11,8.72,8.84,620.38,616.48,616.28
2019-05-06,8.67,8.79,625.1,621.21,621.0
2019-02-28,8.75,8.87,613.66,609.73,609.52
2019-02-27,8.75,8.87,613.45,609.52,609.32
2019-07-22,6.94,7.06,694.35,690.13,689.94
2019-11-07,6.07,6.19,739.24,734.97,734.79
2019-07-26,6.9,7.02,696.5,692.27,692.09
2019-07-11,6.82,6.94,697.32,693.05,692.87
2019-09-03,7.13,7.25,693.53,689.42,689.22
2019-10-22,6.12,6.24,735.37,731.08,730.91
2019-10-23,6.16,6.28,734.11,729.84,729.66
2019-09-25,6.82,6.94,707.25,703.09,702.9
2020-02-12,6.04,6.16,751.77,747.64,747.47
2019-12-12,6.29,6.41,735.69,731.52,731.34
2020-03-25,8.34,8.46,683.3,679.71,679.5
2020-02-13,6.09,6.21,750.22,746.11,745.93
2019-05-27,8.52,8.64,633.07,629.17,628.96
2019-05-29,8.31,8.43,640.37,636.42,636.22
2019-02-11,8.86,8.98,607.39,603.47,603.27
