Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2022-07-08,6.07,6.19,1043.89,1016.43,1016.43
2022-07-19,6.22,6.34,1012.39,986.68,986.68
2022-07-07,6.03,6.15,1052.43,1025.17,1025.17
2022-08-19,5.85,5.97,1094.78,1067.02,1067.02
2022-08-26,5.8,5.92,1106.72,1078.78,1078.78
2022-07-28,6.24,6.36,1007.77,982.23,982.23
2022-08-15,5.82,5.94,1101.33,1073.23,1073.23
2022-08-30,5.92,6.04,1078.95,1051.52,1051.52
2022-06-09,5.69,5.81,1120.47,1091.38,1091.38
2022-07-05,5.98,6.1,1062.79,1035.24,1035.24
2022-07-18,6.07,6.19,1045.43,1018.84,1018.84
2022-06-14,5.7,5.82,1119.64,1090.58,1090.58
2022-06-28,5.9,6.02,1078.17,1050.18,1050.18
2022-07-29,6.22,6.34,1011.68,986.46,986.46
2022-06-29,5.91,6.03,1076.36,1048.43,1048.43
2022-06-24,5.75,5.87,1112.16,1082.82,1082.82
2022-06-30,5.89,6.01,1081.51,1053.44,1053.44
2022-07-25,6.15,6.27,1027.4,1001.31,1001.31
2022-06-10,5.67,5.79,1126.08,1096.51,1096.51
2022-06-13,5.77,5.89,1102.42,1073.82,1073.82
2022-06-08,5.81,5.93,1092.43,1064.04,1064.04
2022-07-04,5.94,6.06,1071.46,1043.68,1043.68
2022-06-15,5.74,5.86,1110.72,1081.61,1081.61
2022-06-23,5.75,5.87,1111.21,1082.34,1082.34
2022-08-02,6.19,6.31,1018.25,992.44,992.44
2022-06-17,5.71,5.83,1118.9,1089.35,1089.35
2022-06-22,5.72,5.84,1117.94,1088.89,1088.89
2022-07-06,6.01,6.13,1056.45,1029.08,1029.08
2022-07-01,5.86,5.98,1089.56,1060.76,1060.76
2022-08-23,5.86,5.98,1092.77,1064.92,1064.92
2022-09-01,5.93,6.05,1076.91,1049.54,1049.54
2022-08-18,5.77,5.89,1113.69,1085.28,1085.28
2022-09-20,5.82,5.94,1103.36,1075.29,1075.29
2022-09-16,5.88,6.0,1088.93,1061.31,1061.31
2022-09-19,5.91,6.03,1082.19,1054.67,1054.67
2022-09-09,5.73,5.85,1123.68,1095.37,1095.37
2022-09-05,5.79,5.91,1109.63,1081.42,1081.42
2022-09-22,5.71,5.83,1129.98,1101.21,1101.21
2022-09-12,5.76,5.88,1116.61,1088.25,1088.25
2022-08-05,5.95,6.07,1071.52,1044.77,1044.77
2022-09-13,5.85,5.97,1095.48,1067.67,1067.67
2022-08-01,6.21,6.33,1013.88,988.18,988.18
